sku_id,category,subcategory,unit_cost,list_price,on_hand_units,on_order_units,lead_time_days,reorder_point,date,total_forecast,avg_weekly_forecast,total_low80,total_high80,low_confidence,lead_time_weeks,stockout_risk,weeks_of_cover,target_cover_weeks,overstock_risk,sales_at_risk,excess_capital_at_risk,on_hand_value,revenue_at_stake,quadrant,recommended_action
SKU-0059,Furnishings,Tables,11010.07,21099.56,694.1,0.0,11.0,609.3,2026-08-16,118.3653009565133,19.727550159418882,76.91308612309314,146.8744055476298,False,1.5714285714285714,0.0,35.184297816553936,3.571428571428571,1.0,0.0,6866369.200629597,7642089.587,6866369.200629597,Markdown / clear,Promote or discount to free up capital.
SKU-0115,Furnishings,Storage,8885.06,15877.06,258.0,1354.0,20.0,1070.8,2026-08-16,2409.573965241418,401.59566087356967,1015.2860299386089,3087.9988177401196,False,2.857142857142857,0.20254561960750816,0.6424372201601639,4.857142857142858,0.0,3689894.155823461,0.0,2292345.48,3689894.155823461,Healthy,No action needed; leave as is.
SKU-0192,Furnishings,Chairs,7601.4,13786.14,224.0,191.0,14.0,411.2,2026-08-16,1010.0479385037945,168.34132308396576,700.4076344385495,1210.3986963444556,False,2.0,0.24769186320722308,1.33062991246821,4.0,0.0,1149675.1821265772,0.0,1702713.5999999999,1149675.1821265772,Healthy,No action needed; leave as is.
SKU-0129,Furnishings,Storage,3013.98,5659.52,386.7,0.0,14.0,363.7,2026-08-16,40.36802439759366,6.728004066265609,24.905136696534004,55.17670106268665,False,2.0,0.0,57.47618404972792,4.0,1.0,0.0,1084393.787217427,1165506.0659999999,1084393.787217427,Markdown / clear,Promote or discount to free up capital.
SKU-0099,Furnishings,Chairs,4956.88,9726.48,241.1,0.0,21.0,217.0,2026-08-16,32.078264299951414,5.346377383325236,17.499724122611255,40.54321140435331,False,3.0,7.47493162200029e-275,45.095956142558215,5.0,1.0,1.166121460842017e-269,1062597.012380714,1195103.768,1062597.012380714,Markdown / clear,Promote or discount to free up capital.
SKU-0161,Furnishings,Tables,3012.99,4974.46,371.8,0.0,18.0,324.2,2026-08-16,44.03461776453094,7.339102960755157,23.004933315709597,65.33915625506253,False,2.5714285714285716,5.3503686450926e-234,50.660142252826994,4.571428571428571,1.0,5.0228139865656425e-229,1019143.3102069683,1120229.682,1019143.3102069683,Markdown / clear,Promote or discount to free up capital.
SKU-0016,Furnishings,Storage,5036.27,9613.62,196.9,0.0,18.0,166.8,2026-08-16,19.89420482468853,3.315700804114755,9.878687970434195,28.508128251097833,False,2.5714285714285716,0.0,59.38412771009039,4.571428571428571,1.0,0.0,915304.3539086217,991641.5630000001,915304.3539086217,Markdown / clear,Promote or discount to free up capital.
SKU-0168,Small Appliances,Air Purifiers,1072.21,2219.73,1577.0,723.0,21.0,1631.9,2026-08-16,908.601907865065,151.43365131084417,750.8145085099669,1226.6183023097758,False,3.0,3.2759241014614914e-45,10.413801597921788,5.0,0.6767251997402235,3.303525257386094e-39,879031.7936399989,1690875.1700000002,879031.7936399989,Markdown / clear,Promote or discount to free up capital.
SKU-0196,Furnishings,Storage,3755.84,6983.48,247.9,0.0,9.0,188.2,2026-08-16,37.23966482685708,6.20661080447618,15.869624163097404,52.49915053786083,False,1.2857142857142858,2.6048244597859664e-288,39.9412832235615,3.2857142857142856,1.0,1.4516079484689676e-283,854479.3283072389,931072.736,854479.3283072389,Markdown / clear,Promote or discount to free up capital.
SKU-0175,Furnishings,Chairs,4594.18,9906.54,205.5,0.0,17.0,196.4,2026-08-16,30.667216053474235,5.111202675579039,13.874883856377359,37.84563851251372,False,2.4285714285714284,2.4608001237800156e-231,40.20580146075292,4.428571428571429,1.0,3.0260236729541264e-226,840113.227378451,944103.9900000001,840113.227378451,Markdown / clear,Promote or discount to free up capital.
