sku_id,category,subcategory,week_start,horizon,forecast,forecast_low80,forecast_high80,low_confidence
SKU-0066,Decor,Rugs,2026-08-17,1,40.539614689920974,24.919445793351613,55.42891508542556,False
SKU-0104,Small Appliances,Air Purifiers,2026-08-17,1,39.69153021166393,29.25241600633714,48.863996820335466,False
SKU-0063,Decor,Rugs,2026-08-17,1,19.214355429141722,0.0,44.26676154878232,False
SKU-0163,Furnishings,Chairs,2026-08-17,1,72.20803480916463,51.1434007730071,87.65028247324653,False
SKU-0062,Decor,Lighting,2026-08-17,1,138.0813368059098,97.42991868202992,160.3653091597713,False
SKU-0176,Furnishings,Sofas,2026-08-17,1,146.01830582755846,120.9631768346563,176.53187354956242,False
SKU-0064,Small Appliances,Heaters,2026-08-17,1,3.2618568926535674,1.2769516680670905,6.439673757627449,False
SKU-0067,Decor,Rugs,2026-08-17,1,57.45929680795141,27.83151875923977,78.70216873969535,False
SKU-0145,Decor,Wall Art,2026-08-17,1,158.26435752092402,116.94773737576563,218.99735492343672,False
SKU-0177,Decor,Rugs,2026-08-17,1,4.969577108559792,1.7158240331582804,7.030553381865538,False
SKU-0162,Small Appliances,Heaters,2026-08-17,1,127.10641996347579,77.84642814820896,153.6470735156611,False
SKU-0199,Furnishings,Chairs,2026-08-17,1,7.147197555162266,3.44264875854246,11.0396044524768,False
SKU-0105,Small Appliances,Heaters,2026-08-17,1,34.776295373134566,18.09777659165748,44.23986902723618,False
SKU-0065,Decor,Rugs,2026-08-17,1,48.45008886480336,0.32569141816541947,83.39307396278282,False
SKU-0103,Furnishings,Storage,2026-08-17,1,6.826538440224843,3.37067942440217,9.833867370299604,False
SKU-0011,Decor,Wall Art,2026-08-17,1,16.958924143485117,10.76493079956707,22.087304982198184,False
SKU-0068,Decor,Lighting,2026-08-17,1,15.532057942663092,9.462342670359135,23.04565752885587,False
SKU-0094,Decor,Rugs,2026-08-17,1,23.91185699265867,7.373015442422137,37.045370376200054,False
SKU-0080,Small Appliances,Fans,2026-08-17,1,112.6464895905396,35.79945614956218,169.33822252187235,False
SKU-0171,Decor,Rugs,2026-08-17,1,37.44395749756034,13.23948380012013,68.47089070906586,False
SKU-0166,Decor,Rugs,2026-08-17,1,19.947491821620744,0.0,37.012095742695074,False
SKU-0081,Decor,Vases,2026-08-17,1,6.676248508641795,2.487104447758227,9.995616143744563,False
SKU-0093,Decor,Wall Art,2026-08-17,1,118.22922934250282,100.5321200431858,146.70647232240898,False
SKU-0082,Decor,Vases,2026-08-17,1,1.196701572123178,0.017867720930153198,2.987427367110809,False
SKU-0092,Decor,Rugs,2026-08-17,1,7.879551894956486,3.301815478313794,12.78895052803655,False
SKU-0147,Decor,Lighting,2026-08-17,1,7.8506103144037,3.6332452397850683,10.96956753537805,False
SKU-0148,Decor,Lighting,2026-08-17,1,22.30313314116565,14.919117833849207,28.64950338111008,False
SKU-0083,Small Appliances,Air Purifiers,2026-08-17,1,53.56624800144732,45.120397010238655,68.16689958640802,False
SKU-0084,Furnishings,Sofas,2026-08-17,1,43.40151555649892,30.108909520897328,59.60756822919705,False
SKU-0091,Furnishings,Tables,2026-08-17,1,26.31258587475265,0.5291191937852666,40.44281864528255,False
SKU-0170,Small Appliances,Air Purifiers,2026-08-17,1,22.85826726708082,17.34954871456892,31.257930511955948,False
SKU-0085,Furnishings,Chairs,2026-08-17,1,38.68006120949666,28.83079846685147,49.433742472587156,False
SKU-0086,Furnishings,Storage,2026-08-17,1,4.627363939058327,2.542783423086235,7.009175369720991,False
SKU-0167,Small Appliances,Heaters,2026-08-17,1,5.307280147886164,1.771670299423171,7.265031751794621,False
SKU-0087,Small Appliances,Fans,2026-08-17,1,1.0094399143768278,0.12436760358622083,1.7463770635348876,False
SKU-0169,Decor,Vases,2026-08-17,1,5.6341679194688234,2.236052646010565,8.731497387766835,False
SKU-0168,Small Appliances,Air Purifiers,2026-08-17,1,147.58780947057883,127.53807844564284,199.67627734374616,False
SKU-0090,Decor,Vases,2026-08-17,1,22.809518539013744,13.953234210380728,29.38978329392667,False
SKU-0088,Decor,Rugs,2026-08-17,1,11.491056338875756,5.610547610151865,16.235040009488028,False
SKU-0089,Furnishings,Tables,2026-08-17,1,85.79226686830367,34.40650300121785,128.76294488497032,False
SKU-0079,Decor,Vases,2026-08-17,1,2.728869686737032,0.5743861394985448,4.105094471239464,False
SKU-0003,Small Appliances,Air Purifiers,2026-08-17,1,15.146474065335877,3.666549096431422,24.187871977149747,False
SKU-0078,Decor,Wall Art,2026-08-17,1,268.33248891919646,156.5169056173416,364.2807557737138,False
SKU-0095,Decor,Rugs,2026-08-17,1,25.543933728106904,14.480395801858888,34.5496465128188,False
SKU-0102,Decor,Rugs,2026-08-17,1,15.32245755223268,6.288359169106103,23.372234930125522,False
SKU-0175,Furnishings,Chairs,2026-08-17,1,5.0996997858651385,2.2158036160456023,6.127793003733371,False
SKU-0101,Small Appliances,Heaters,2026-08-17,1,56.062951013088195,37.62638868315988,70.16438401958035,False
SKU-0069,Furnishings,Sofas,2026-08-17,1,37.29682399145066,23.177268940505638,52.13778500663291,False
SKU-0070,Decor,Vases,2026-08-17,1,16.430254869906612,0.0,43.31568143937277,False
SKU-0100,Small Appliances,Heaters,2026-08-17,1,4.57413771371178,2.469345676445622,6.6974109467571346,False
SKU-0071,Furnishings,Tables,2026-08-17,1,40.92512827065371,0.04584214516792539,60.5899171270652,False
SKU-0174,Small Appliances,Fans,2026-08-17,1,216.7349650759202,141.88306531961544,296.42226514122996,False
SKU-0164,Furnishings,Tables,2026-08-17,1,39.622110793557624,31.533915173373266,46.97906813078327,False
SKU-0072,Decor,Lighting,2026-08-17,1,76.02458392847257,57.25491768684515,98.79321959854325,False
SKU-0099,Furnishings,Chairs,2026-08-17,1,5.333244723891073,2.8077150040922034,6.608225266251653,False
SKU-0146,Furnishings,Sofas,2026-08-17,1,37.45611973616029,3.539955320140256,59.32564984210248,False
SKU-0002,Decor,Wall Art,2026-08-17,1,19.329844519062423,13.911121997877931,24.76221849652287,False
SKU-0073,Small Appliances,Heaters,2026-08-17,1,1.837111388641198,0.1757357357967824,3.7165306861324234,False
SKU-0098,Furnishings,Tables,2026-08-17,1,11.627809613166983,6.529328586353443,16.5306295299225,False
SKU-0074,Furnishings,Tables,2026-08-17,1,5.872129914610776,3.0223058888713172,7.158210632322781,False
SKU-0173,Furnishings,Sofas,2026-08-17,1,27.902746489208134,21.29706599412782,35.50078484068195,False
SKU-0075,Furnishings,Chairs,2026-08-17,1,13.958819436738978,0.9273345723031197,28.78182191560759,False
SKU-0076,Decor,Rugs,2026-08-17,1,11.676515528973683,0.0,27.18875110394276,False
SKU-0165,Decor,Lighting,2026-08-17,1,13.871333551409329,9.057014458037239,19.802870664729145,False
SKU-0077,Decor,Lighting,2026-08-17,1,40.83203183910676,22.820844780869567,52.36832134291864,False
SKU-0096,Decor,Vases,2026-08-17,1,9.128156333083323,3.618060040554749,13.65969782894809,False
SKU-0172,Decor,Lighting,2026-08-17,1,9.624509472940932,5.748951422047134,13.0260828301989,False
SKU-0001,Small Appliances,Air Purifiers,2026-08-17,1,31.29251007947656,22.125022223123974,40.83985878230521,False
SKU-0097,Decor,lighting,2026-08-17,1,9.364000592162578,0.0,17.07528487419677,False
SKU-0051,Furnishings,Tables,2026-08-17,1,25.37767437890472,18.310444208417596,31.119180447976376,False
SKU-0061,Decor,Lighting,2026-08-17,1,10.969198526777388,5.77169042063419,16.03706605079948,False
SKU-0131,Furnishings,Storage,2026-08-17,1,2.1437481164026333,0.66408761518254,3.547235417030564,False
SKU-0024,Small Appliances,Kitchen Appliances,2026-08-17,1,5.950647752425384,3.3385027048927807,9.497809661892433,False
SKU-0025,Small Appliances,Fans,2026-08-17,1,18.391669592379735,5.317299473647255,27.383752802878966,False
SKU-0009,Furnishings,Chairs,2026-08-17,1,8.130140923628531,0.5500258833205539,14.202221492490288,False
SKU-0154,Decor,Lighting,2026-08-17,1,7.4478261483210435,2.535706891139521,10.996078455412228,False
SKU-0026,Furnishings,Storage,2026-08-17,1,10.774872022459125,0.11394578755888436,19.353939928964493,False
SKU-0130,Decor,Lighting,2026-08-17,1,4.086529329849275,1.743171253176447,6.395887517017011,False
SKU-0027,Decor,Lighting,2026-08-17,1,2.2111633946488025,0.45978243510222194,3.365372581887657,False
SKU-0191,Small Appliances,Fans,2026-08-17,1,31.756485999359256,12.042552716722655,53.07209857797666,False
SKU-0129,Furnishings,Storage,2026-08-17,1,6.677573726494025,4.057506540095652,9.045122580831247,False
SKU-0028,Furnishings,Tables,2026-08-17,1,2.9565470417709805,0.35617785100223787,4.4649554488863,False
SKU-0128,Furnishings,Chairs,2026-08-17,1,4.194581208720542,1.0962042161684409,7.085335240726057,False
SKU-0029,Furnishings,Chairs,2026-08-17,1,26.83672666562562,16.8879780763914,38.80593044469207,False
SKU-0192,Furnishings,Chairs,2026-08-17,1,167.98517120785795,120.23401504572148,199.128688305314,False
SKU-0030,Decor,lighting,2026-08-17,1,12.280689022249115,0.04580627408535773,30.09813749870962,False
SKU-0155,Furnishings,Chairs,2026-08-17,1,112.00361902403813,87.07511390818814,134.97878434142086,False
SKU-0127,Decor,Rugs,2026-08-17,1,4.8686412268420876,1.4702429126358076,8.032617994799597,False
SKU-0008,Small Appliances,Heaters,2026-08-17,1,18.489977295121893,10.322773819850388,23.707521928229482,False
SKU-0031,Small Appliances,Kitchen Appliances,2026-08-17,1,5.686219094794746,2.5554411888763533,7.494845117351583,False
SKU-0032,Small Appliances,Heaters,2026-08-17,1,46.07541416226209,22.313504449677776,57.3174410564973,False
SKU-0126,Decor,Wall Art,2026-08-17,1,24.164646896417278,16.66893395998686,29.896715889142282,False
SKU-0033,Decor,Lighting,2026-08-17,1,7.871474227848294,3.591611361653003,10.919641221596155,False
SKU-0125,Furnishings,Storage,2026-08-17,1,38.15309119120164,24.575860498936713,48.08445182735501,False
SKU-0189,Small Appliances,Fans,2026-08-17,1,25.85265690002661,16.038931086226672,33.83534434216831,False
SKU-0034,Decor,Lighting,2026-08-17,1,17.484928732094286,11.298733598409456,22.238144388573385,False
SKU-0035,Decor,Lighting,2026-08-17,1,35.153127519274015,24.236308268274566,43.402030511898516,False
SKU-0142,Decor,Vases,2026-08-17,1,33.97750392723359,11.931212679098781,56.30545439639558,False
SKU-0156,Decor,Vases,2026-08-17,1,3.0538398634032613,0.6196863467650345,5.355306188283049,False
SKU-0190,Furnishings,Sofas,2026-08-17,1,5.3592079362697405,2.312303624655653,6.751812005169128,False
SKU-0197,Decor,Vases,2026-08-17,1,1.4923065739761117,0.07911775728379336,2.9004953375752622,False
SKU-0023,Small Appliances,Fans,2026-08-17,1,170.22714884342037,1.2093973211659477,222.77435668382273,False
SKU-0132,Small Appliances,Heaters,2026-08-17,1,47.01586146242832,24.73118334979546,60.820233320284835,False
SKU-0139,Small Appliances,Kitchen Appliances,2026-08-17,1,105.88611589409352,92.60052235106215,126.29912908689613,False
SKU-0012,Small Appliances,Air Purifiers,2026-08-17,1,11.802270166521293,0.6559298620815285,26.33247817712862,False
SKU-0196,Furnishings,Storage,2026-08-17,1,6.137665829425958,2.690951791830222,8.59503232178913,False
SKU-0138,Decor,Vases,2026-08-17,1,63.93013575738545,39.50329405721029,82.42832614408175,False
SKU-0013,Decor,Rugs,2026-08-17,1,30.597485467614273,17.62281089352265,44.10446413872778,False
SKU-0014,Small Appliances,Heaters,2026-08-17,1,17.7952819618784,9.61286362218749,24.098507893157716,False
SKU-0140,Furnishings,Sofas,2026-08-17,1,31.263210936366136,20.122362445154153,39.39005684396497,False
SKU-0015,Decor,Lighting,2026-08-17,1,38.19804586077261,21.33270663289097,47.29177327696034,False
SKU-0151,Small Appliances,Fans,2026-08-17,1,5.014060584820157,1.8534906857248505,6.283570373880695,False
SKU-0010,Decor,Vases,2026-08-17,1,20.13297924229492,10.44686920572774,26.674016017507306,False
SKU-0137,Small Appliances,Kitchen Appliances,2026-08-17,1,88.2879755118813,69.69093296545705,104.51748756162964,False
SKU-0195,Furnishings,Chairs,2026-08-17,1,43.173001152963984,20.596190460308513,62.49671603502608,False
SKU-0016,Furnishings,Storage,2026-08-17,1,3.290847680292962,1.6388672801256203,4.5972363119499144,False
SKU-0152,Small Appliances,Fans,2026-08-17,1,17.197693297005646,2.58378921675374,26.92230800088405,False
SKU-0017,Decor,Lighting,2026-08-17,1,67.45253759364822,51.13604098296334,84.81728399545241,False
SKU-0136,Furnishings,Chairs,2026-08-17,1,24.12006391932225,4.08048973293479,38.97844969360434,False
SKU-0018,Furnishings,Chairs,2026-08-17,1,123.46488196154523,90.82809996988611,141.6787999586213,False
SKU-0135,Decor,Lighting,2026-08-17,1,94.33007020919842,71.77385731191221,112.30021472884066,False
SKU-0194,Small Appliances,Fans,2026-08-17,1,219.68325649835091,152.2471812180741,250.00158155519088,False
SKU-0141,Decor,Wall Art,2026-08-17,1,137.5045689377765,98.2048693036311,296.4052308881971,True
SKU-0150,Furnishings,Chairs,2026-08-17,1,67.3819142015742,50.14049474585879,83.51578035808637,False
SKU-0019,Small Appliances,Heaters,2026-08-17,1,1.8804999911086153,0.32021440046003774,3.6158521781847934,False
SKU-0134,Decor,Rugs,2026-08-17,1,15.303227362570285,8.698624341280837,23.001427191151983,False
SKU-0020,Decor,Lighting,2026-08-17,1,12.642602125253738,7.747510742552639,16.824978049901315,False
SKU-0193,Furnishings,Chairs,2026-08-17,1,90.4649195542845,59.85899329641582,115.3769181320638,False
SKU-0021,Small Appliances,Fans,2026-08-17,1,21.013964111125645,10.084301420324971,31.001463113116824,False
SKU-0153,Furnishings,Sofas,2026-08-17,1,46.61953631674958,30.97554568653005,62.70280512823292,False
SKU-0133,Decor,Vases,2026-08-17,1,8.711612674083204,0.018371425525215167,16.679747317186685,False
SKU-0022,Decor,Wall Art,2026-08-17,1,21.368424753541483,15.266358481300488,27.847738251896047,False
SKU-0124,Decor,Vases,2026-08-17,1,12.80649450754275,6.498190734721599,17.56102047014978,False
SKU-0188,Furnishings,Sofas,2026-08-17,1,20.787344220351955,7.59458245049389,31.059639651099523,False
SKU-0007,Small Appliances,Heaters,2026-08-17,1,18.67137029272613,10.157054319341583,24.554491522124597,False
SKU-0036,Furnishings,Tables,2026-08-17,1,4.722884847006549,1.6429419038179809,6.282099995225554,False
SKU-0114,Decor,Vases,2026-08-17,1,44.75059735725025,26.091684310047306,65.33191055307388,False
SKU-0183,Decor,Lighting,2026-08-17,1,54.933501209095844,10.267052167641134,78.75719535027109,False
SKU-0144,Decor,Rugs,2026-08-17,1,20.51973053136605,4.230857261125643,31.304223334702552,False
SKU-0149,Decor,rugs,2026-08-17,1,70.25527302412875,53.69119188656047,79.34284028632305,False
SKU-0113,Decor,Lighting,2026-08-17,1,89.04947202717169,61.216322915442646,109.80587717609103,False
SKU-0052,Furnishings,Sofas,2026-08-17,1,81.13997349401431,1.5646453012971067,149.5821555301406,False
SKU-0005,Furnishings,Storage,2026-08-17,1,152.70682350929158,142.26286575784448,173.80265849474907,False
SKU-0112,Furnishings,Sofas,2026-08-17,1,76.82921450263878,7.8918875014109195,112.70645184149518,False
SKU-0053,Small Appliances,Fans,2026-08-17,1,31.361342316487757,20.195519717729027,40.09770026589301,False
SKU-0160,Small Appliances,Fans,2026-08-17,1,22.403273613714827,11.07105014903131,29.255706124615777,False
SKU-0054,Decor,Wall Art,2026-08-17,1,15.914872072133798,10.932335094000987,21.88730560888497,False
SKU-0182,Small Appliances,Kitchen Appliances,2026-08-17,1,4.775809034831679,2.0973823418796336,7.577343350031498,False
SKU-0111,Decor,Rugs,2026-08-17,1,124.03422300834431,68.79204568359165,166.27401662017752,False
SKU-0055,Small Appliances,Air Purifiers,2026-08-17,1,25.098899438540524,16.519960536680017,33.54601400631168,False
SKU-0110,Small Appliances,Fans,2026-08-17,1,50.574021753439325,41.52747867823234,67.69491935126567,False
SKU-0056,Small Appliances,Air Purifiers,2026-08-17,1,104.97833684914119,104.19875932662468,147.3105704725917,False
SKU-0181,Small Appliances,Air Purifiers,2026-08-17,1,2.858395735835515,0.6768479505476422,4.0950270334934284,True
SKU-0180,Small Appliances,Fans,2026-08-17,1,38.97876877844578,2.5376078688585575,130.16827987052335,False
SKU-0109,Furnishings,Storage,2026-08-17,1,19.646975037839297,12.22557926646272,26.03798543703135,False
